# generated by .rubies/generate-golden.sh -- do not edit
# regenerate with: make rubies-golden
file	1.9	2.0	2.1	2.3	2.5	2.6	2.7	3.0	3.1	3.2	3.4	4.0
internal/integrationtest/testdata/gems/esolang-book-sources/whitespace/lib/whitespace/compiler.rb	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
internal/integrationtest/testdata/gems/esolang-book-sources/whitespace/lib/whitespace/vm.rb	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
internal/integrationtest/testdata/gems/forter/lib/forter.rb	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
internal/integrationtest/testdata/gems/hexagony/brute-forcer.rb	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
internal/integrationtest/testdata/gems/hexagony/coords.rb	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
internal/integrationtest/testdata/gems/hexagony/direction.rb	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
internal/integrationtest/testdata/gems/hexagony/grid.rb	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
internal/integrationtest/testdata/gems/hexagony/hexagony.rb	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
internal/integrationtest/testdata/gems/hexagony/interpreter.rb	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
internal/integrationtest/testdata/gems/hexagony/memory.rb	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
internal/integrationtest/testdata/gems/hq9f-ruby/hq9f.rb	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
internal/integrationtest/testdata/gems/kaiser-ruby/examples/treesort.rb	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
internal/integrationtest/testdata/gems/kaiser-ruby/lib/kaiser_ruby.rb	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
internal/integrationtest/testdata/gems/kaiser-ruby/lib/kaiser_ruby/cli.rb	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
internal/integrationtest/testdata/gems/kaiser-ruby/lib/kaiser_ruby/parser.rb	fail	fail	fail	pass	pass	pass	pass	pass	pass	pass	pass	pass
internal/integrationtest/testdata/gems/kaiser-ruby/lib/kaiser_ruby/refinements.rb	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
internal/integrationtest/testdata/gems/kaiser-ruby/lib/kaiser_ruby/transformer.rb	fail	fail	fail	pass	pass	pass	pass	pass	pass	pass	pass	pass
internal/integrationtest/testdata/gems/kaiser-ruby/lib/kaiser_ruby/version.rb	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
internal/integrationtest/testdata/gems/kaiser-ruby/spec/general/cli_spec.rb	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
internal/integrationtest/testdata/gems/kaiser-ruby/spec/general/integration_spec.rb	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
internal/integrationtest/testdata/gems/kaiser-ruby/spec/general/other_spec.rb	fail	fail	fail	pass	pass	pass	pass	pass	pass	pass	pass	pass
internal/integrationtest/testdata/gems/kaiser-ruby/spec/language/comparison_spec.rb	fail	fail	fail	pass	pass	pass	pass	pass	pass	pass	pass	pass
internal/integrationtest/testdata/gems/kaiser-ruby/spec/language/expression_spec.rb	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
internal/integrationtest/testdata/gems/kaiser-ruby/spec/language/flow_control_spec.rb	fail	fail	fail	pass	pass	pass	pass	pass	pass	pass	pass	pass
internal/integrationtest/testdata/gems/kaiser-ruby/spec/language/functions_spec.rb	fail	fail	fail	pass	pass	pass	pass	pass	pass	pass	pass	pass
internal/integrationtest/testdata/gems/kaiser-ruby/spec/language/general_statements_spec.rb	fail	fail	fail	pass	pass	pass	pass	pass	pass	pass	pass	pass
internal/integrationtest/testdata/gems/kaiser-ruby/spec/language/precedence_spec.rb	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
internal/integrationtest/testdata/gems/kaiser-ruby/spec/old_reference_tests/correct_spec.rb	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
internal/integrationtest/testdata/gems/kaiser-ruby/spec/old_reference_tests/parsing_errors_spec.rb	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
internal/integrationtest/testdata/gems/kaiser-ruby/spec/old_reference_tests/runtime_errors_spec.rb	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
internal/integrationtest/testdata/gems/kaiser-ruby/spec/reference/assignment_spec.rb	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
internal/integrationtest/testdata/gems/kaiser-ruby/spec/reference/comments_spec.rb	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
internal/integrationtest/testdata/gems/kaiser-ruby/spec/reference/conditionals_spec.rb	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
internal/integrationtest/testdata/gems/kaiser-ruby/spec/reference/constants_spec.rb	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
internal/integrationtest/testdata/gems/kaiser-ruby/spec/reference/control_flow_spec.rb	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
internal/integrationtest/testdata/gems/kaiser-ruby/spec/reference/equality_spec.rb	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
internal/integrationtest/testdata/gems/kaiser-ruby/spec/reference/examples_spec.rb	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
internal/integrationtest/testdata/gems/kaiser-ruby/spec/reference/functions_spec.rb	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
internal/integrationtest/testdata/gems/kaiser-ruby/spec/reference/io_specs.rb	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
internal/integrationtest/testdata/gems/kaiser-ruby/spec/reference/literals_spec.rb	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
internal/integrationtest/testdata/gems/kaiser-ruby/spec/reference/math_spec.rb	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
internal/integrationtest/testdata/gems/kaiser-ruby/spec/reference/operators_spec.rb	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
internal/integrationtest/testdata/gems/kaiser-ruby/spec/reference/variables_spec.rb	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
internal/integrationtest/testdata/gems/kaiser-ruby/spec/reference/whitespace_spec.rb	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
internal/integrationtest/testdata/gems/kaiser-ruby/spec/spec_helper.rb	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
internal/integrationtest/testdata/gems/kaiser-ruby/spec/variables/assignment_spec.rb	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
internal/integrationtest/testdata/gems/kaiser-ruby/spec/variables/poetic_spec.rb	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
internal/integrationtest/testdata/gems/kaiser-ruby/spec/variables/variable_names_spec.rb	fail	fail	fail	pass	pass	pass	pass	pass	pass	pass	pass	pass
internal/integrationtest/testdata/gems/labyrinth/direction.rb	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
internal/integrationtest/testdata/gems/labyrinth/interpreter.rb	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
internal/integrationtest/testdata/gems/labyrinth/labyrinth.rb	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
internal/integrationtest/testdata/gems/labyrinth/point2d.rb	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
internal/integrationtest/testdata/gems/mariolang-rb/mariolang.rb	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
internal/integrationtest/testdata/gems/minitest/design_rationale.rb	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
internal/integrationtest/testdata/gems/minitest/lib/hoe/minitest.rb	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
internal/integrationtest/testdata/gems/minitest/lib/minitest.rb	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
internal/integrationtest/testdata/gems/minitest/lib/minitest/assertions.rb	fail	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
internal/integrationtest/testdata/gems/minitest/lib/minitest/autorun.rb	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
internal/integrationtest/testdata/gems/minitest/lib/minitest/benchmark.rb	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
internal/integrationtest/testdata/gems/minitest/lib/minitest/compress.rb	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
internal/integrationtest/testdata/gems/minitest/lib/minitest/error_on_warning.rb	fail	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
internal/integrationtest/testdata/gems/minitest/lib/minitest/expectations.rb	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
internal/integrationtest/testdata/gems/minitest/lib/minitest/hell.rb	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
internal/integrationtest/testdata/gems/minitest/lib/minitest/manual_plugins.rb	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
internal/integrationtest/testdata/gems/minitest/lib/minitest/mock.rb	fail	fail	fail	fail	pass	pass	pass	pass	pass	pass	pass	pass
internal/integrationtest/testdata/gems/minitest/lib/minitest/parallel.rb	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
internal/integrationtest/testdata/gems/minitest/lib/minitest/pride_plugin.rb	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
internal/integrationtest/testdata/gems/minitest/lib/minitest/pride.rb	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
